%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697393276083680,77,158697393276083680,,-0.00758009796651,0.0296757799053,-0.913872010445,0.0169571895229,0.999169990764,0.010186835615,0.0356090021489,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393306387705,78,158697393306387705,,-0.00758405749786,0.0296698701425,-0.913872104554,0.0169543734951,0.999169926398,0.0101967803907,0.0356094346871,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393336691730,79,158697393336691730,,-0.00758501250801,0.0296764880533,-0.913871622064,0.0169619975847,0.999170843726,0.0101202333052,0.0356018718727,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393366995755,80,158697393366995755,,-0.00759310261669,0.0296579187746,-0.913872519909,0.0169458915862,0.999169339258,0.0102050452194,0.0356273554085,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393397299780,81,158697393397299780,,-0.00757183114685,0.0296610598559,-0.913872262564,0.016955495997,0.999170722592,0.0101217994725,0.035607906396,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393427603805,82,158697393427603805,,-0.00759803312878,0.029661506269,-0.913872500561,0.0169506522806,0.999170707725,0.0101225312896,0.0356104762314,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393457907829,83,158697393457907829,,-0.0075837516161,0.0296655865987,-0.913871632615,0.0169548747361,0.999170237674,0.0101318213283,0.0356189443212,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393488211855,84,158697393488211855,,-0.00758510524966,0.0296443788322,-0.913872315451,0.0169432268651,0.999170555763,0.0101168119602,0.0356198358035,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393518515880,85,158697393518515880,,-0.00759701198488,0.0296557309887,-0.913872279959,0.0169457008619,0.999169961014,0.010194672074,0.0356131807989,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393548819905,86,158697393548819905,,-0.00758071749155,0.029667070045,-0.913871398013,0.016955093402,0.999170140473,0.0100994550035,0.035630787484,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
